"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"17","Destiny 2","Destiny 2","660799200","54319860","232547","18053","60430","14822","1218","12.16","Destiny 2"
"18","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","1609460340","53184780","272726","2355","104693","36102","1193","30.26","Tom Clancy's Rainbow Six Siege"
"19","FIFA 21","FIFA 21","2172354420","49957200","220870","3270","88591","48729","1120","43.48","FIFA 21"
"20","Overwatch","Overwatch","737522400","46220400","111132","2056","77905","16543","1036","15.96","Overwatch"
"21","Dota 2","Dota 2","2925741660","41544780","270249","1595","33157","65629","931","70.42","Dota 2"
"22","Escape from Tarkov","Escape from Tarkov","960925440","38891160","117515","1447","31607","21555","872","24.71","Escape from Tarkov"
"23","Art","Art","654110160","38692560","41283","1359","63201","14672","867","16.91","Art"
"24","NBA 2K21","NBA 2K21","375741060","37371780","72434","1710","61714","8428","838","10.05","NBA 2K21"
"25","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","747176340","34883340","96500","1280","34326","16760","782","21.42","PUBG: BATTLEGROUNDS"
"26","Genshin Impact","Genshin Impact","766718940","34546860","148678","2107","56504","17198","774","22.19","Genshin Impact"
"27","Games + Demos","Games + Demos","178165260","27440340","36364","1587","62584","3996","615","6.49","Games + Demos"
"28","Roblox","Roblox","178613340","23288580","201701","935","62143","4006","522","7.67","Roblox"
"29","Final Fantasy XIV Online","Final Fantasy XIV Online","288359460","22326900","144368","1396","25209","6468","500","12.92","Final Fantasy XIV Online"
"30","Sea of Thieves","Sea of Thieves","295188960","22035600","32140","1172","36744","6621","494","13.4","Sea of Thieves"
"31","Rust","Rust","1017601560","21449100","170451","1259","29675","22826","481","47.44","Rust"
"32","Teamfight Tactics","Teamfight Tactics","1240434300","21375000","98500","1016","39787","27824","479","58.03","Teamfight Tactics"
"33","Garena Free Fire","Garena Free Fire","567316320","19656420","152640","943","27343","12725","440","28.86","Garena Free Fire"
"34","Mass Effect Legendary Edition","Mass Effect Legendary Edition","289117320","18855660","55434","2610","22565","6485","422","15.33","Mass Effect Legendary Edition"
"35","Phasmophobia","Phasmophobia","186701820","18757500","127546","1139","63099","4188","420","9.95","Phasmophobia"
"36","Knockout City","Knockout City","378775800","16105560","218151","2353","53849","8496","361","23.52","Knockout City"
"37","Ark: Survival Evolved","Ark: Survival Evolved","347470380","15607440","56983","670","21315","7794","350","22.26","Ark: Survival Evolved"
"38","Path of Exile","Path of Exile","620580780","15223740","38182","710","11055","13920","341","40.76","Path of Exile"
"39","osu!","osu!","135111960","14317140","20721","576","40240","3030","321","9.44","osu!"
"40","Resident Evil 7 biohazard","Resident Evil 7 biohazard","206987580","13924500","55076","953","39179","4643","312","14.86","Resident Evil 7 biohazard"
"41","SMITE","SMITE","377077560","13595700","31244","635","17342","8458","304","27.74","SMITE"
"42","Red Dead Redemption 2","Red Dead Redemption 2","143617260","13591980","36643","570","22259","3221","304","10.57","Red Dead Redemption 2"
"43","Days Gone","Days Gone","237137400","12951240","48536","980","21378","5319","290","18.31","Days Gone"
"44","DayZ","DayZ","513316980","12700440","66345","541","15030","11514","284","40.42","DayZ"
"45","Subnautica: Below Zero","Subnautica: Below Zero","648177120","12544860","157366","1398","20369","14539","281","51.67","Subnautica: Below Zero"
"46","Call of Duty: Mobile","Call of Duty: Mobile","81102780","12382740","13844","547","19575","1819","277","6.55","Call of Duty: Mobile"
"47","Among Us","Among Us","657657780","12359400","242486","960","51402","14752","277","53.21","Among Us"
"48","Science & Technology","Science & Technology","188647860","12297240","31301","415","9530","4231","275","15.34","Science & Technology"
"49","Talk Shows & Podcasts","Talk Shows & Podcasts","461422200","11715720","330546","613","17457","10350","262","39.38","Talk Shows & Podcasts"
"50","Monster Hunter Rise","Monster Hunter Rise","155449740","11436240","50697","1169","15271","3486","256","13.59","Monster Hunter Rise"
