"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","3526854420","227944800","287301","9831","359321","79112","5113","15.47","Fortnite"
"2","Apex Legends","Apex Legends","3550069200","195561960","278944","6699","231430","79633","4386","18.15","Apex Legends"
"3","Just Chatting","Just Chatting","13079658180","176704140","743539","6420","376011","293397","3963","74.02","Just Chatting"
"4","VALORANT","VALORANT","3849873180","162926220","261799","5616","230732","86358","3654","23.63","VALORANT"
"5","New World","New World","5240675820","161313300","465466","9903","132349","117556","3618","32.49","New World"
"6","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","382856160","153781860","49117","7224","188713","8588","3449","2.49","Call Of Duty: Modern Warfare"
"7","League of Legends","League of Legends","12514488000","149388660","2435596","5375","185819","280719","3351","83.77","League of Legends"
"8","Call of Duty: Warzone","Call of Duty: Warzone","3058854660","143864880","217091","7159","135394","68614","3227","21.26","Call of Duty: Warzone"
"9","Minecraft","Minecraft","4057186440","118090380","763520","4811","247477","91009","2648","34.36","Minecraft"
"10","Grand Theft Auto V","Grand Theft Auto V","8216073300","108824160","477623","4936","126104","184299","2441","75.5","Grand Theft Auto V"
"11","Dead by Daylight","Dead by Daylight","1506211920","96950940","112127","4131","125179","33786","2174","15.54","Dead by Daylight"
"12","FIFA 22","FIFA 22","3394550460","65970540","366427","4767","104675","76145","1479","51.46","FIFA 22"
"13","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","4210825380","57382080","665633","2557","97136","94455","1287","73.38","Counter-Strike: Global Offensive"
"14","Music","Music","1226432640","51378780","144613","1790","46261","27510","1152","23.87","Music"
"15","Genshin Impact","Genshin Impact","784203900","47329260","579931","2449","70205","17590","1061","16.57","Genshin Impact"
"16","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","195956100","44192760","67207","2083","69214","4395","991","4.43","Call of Duty: Black Ops Cold War"
"17","World of Warcraft","World of Warcraft","747650700","44066880","45051","3237","37297","16770","988","16.97","World of Warcraft"
"18","Rocket League","Rocket League","859321200","43256400","133900","1747","113324","19275","970","19.87","Rocket League"
"19","Dota 2","Dota 2","5928935820","42099480","1690706","1906","34983","132995","944","140.83","Dota 2"
"20","Destiny 2","Destiny 2","445096140","37871640","47302","1886","46976","9984","849","11.75","Destiny 2"
"21","Back 4 Blood","Back 4 Blood","928297020","37321980","219149","5177","80553","20823","837","24.87","Back 4 Blood"
"22","NBA 2K22","NBA 2K22","425308440","35242620","40443","1855","40905","9540","790","12.07","NBA 2K22"
"23","Art","Art","553025700","34183320","35758","1210","54004","12405","766","16.18","Art"
"24","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","595582200","33187860","63033","1316","66372","13359","744","17.95","Tom Clancy's Rainbow Six Siege"
"25","Overwatch","Overwatch","480888900","31658220","24865","1496","53751","10787","710","15.19","Overwatch"
"26","Phasmophobia","Phasmophobia","451541880","30528480","172868","3699","96685","10128","684","14.79","Phasmophobia"
"27","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","529575420","28095660","138684","1010","27517","11879","630","18.85","PUBG: BATTLEGROUNDS"
"28","Escape from Tarkov","Escape from Tarkov","735328680","28012260","135084","1694","22173","16494","628","26.25","Escape from Tarkov"
"29","Final Fantasy XIV Online","Final Fantasy XIV Online","488188680","27773460","36416","1460","27871","10950","623","17.58","Final Fantasy XIV Online"
"30","Diablo II: Resurrected","Diablo II: Resurrected","1172537100","27154860","81818","1281","21636","26301","609","43.18","Diablo II: Resurrected"
"31","Far Cry 6","Far Cry 6","638652180","24278700","215318","2729","34485","14325","544","26.31","Far Cry 6"
"32","Games + Demos","Games + Demos","188598240","24203400","82554","1424","56832","4230","542","7.79","Games + Demos"
"33","Roblox","Roblox","715357380","23834040","999409","1037","71662","16046","534","30.01","Roblox"
"34","Battlefield 2042","Battlefield 2042","488444880","13921920","339417","5035","51930","10956","312","35.08","Battlefield 2042"
"35","Sea of Thieves","Sea of Thieves","235139040","13826280","35620","642","21802","5274","310","17.01","Sea of Thieves"
"36","Red Dead Redemption 2","Red Dead Redemption 2","146554800","13715760","30689","574","19504","3287","307","10.69","Red Dead Redemption 2"
"37","Rust","Rust","338642460","13628460","29882","770","16815","7596","305","24.85","Rust"
"38","Garena Free Fire","Garena Free Fire","337772580","13520760","94288","639","17471","7576","303","24.98","Garena Free Fire"
"39","Pokémon Unite","Pokémon Unite","186032640","12606720","21219","830","22732","4173","282","14.76","Pokémon Unite"
"40","Madden NFL 22","Madden NFL 22","111426780","11853300","20212","741","19053","2499","265","9.4","Madden NFL 22"
"41","Path of Exile","Path of Exile","825978840","11149980","237109","3107","9193","18528","250","74.08","Path of Exile"
"42","osu!","osu!","105978180","11109720","14304","468","29739","2377","249","9.54","osu!"
"43","Talk Shows & Podcasts","Talk Shows & Podcasts","379061340","10486080","79619","558","13149","8502","235","36.15","Talk Shows & Podcasts"
"44","DayZ","DayZ","192005520","10382640","12688","442","11688","4306","232","18.49","DayZ"
"45","LOST ARK","LOST ARK","666629880","10326660","62758","678","5465","14953","231","64.55","LOST ARK"
"46","Ark: Survival Evolved","Ark: Survival Evolved","61201260","10242000","8708","429","13549","1372","229","5.98","Ark: Survival Evolved"
"47","Metroid Dread","Metroid Dread","267301380","10216140","53588","1855","15986","5995","229","26.16","Metroid Dread"
"48","Call of Duty: Mobile","Call of Duty: Mobile","61525260","10089840","35172","407","14006","1380","226","6.1","Call of Duty: Mobile"
"49","SMITE","SMITE","278642340","10027320","19374","450","12854","6250","224","27.79","SMITE"
"50","Hunt: Showdown","Hunt: Showdown","127661400","9817920","20826","690","11319","2863","220","13","Hunt: Showdown"
