"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","4672285680","285875040","1061444","66110","473438","104806","6412","16.34","Fortnite"
"2","Apex Legends","Apex Legends","5571842820","282544320","411397","13378","349077","124985","6337","19.72","Apex Legends"
"3","Just Chatting","Just Chatting","14976633300","195318300","739948","6555","428053","335949","4381","76.68","Just Chatting"
"4","VALORANT","VALORANT","4651530840","185104140","301322","6463","272547","104341","4152","25.13","VALORANT"
"5","Call Of Duty: Modern Warfare","Call Of Duty: Modern Warfare","425544840","182863860","31054","20072","243444","9545","4101","2.33","Call Of Duty: Modern Warfare"
"6","League of Legends","League of Legends","8287964100","177862740","954507","5628","215239","185912","3989","46.6","League of Legends"
"7","Minecraft","Minecraft","4556708700","159582600","905543","6027","333391","102214","3579","28.55","Minecraft"
"8","Call of Duty: Warzone","Call of Duty: Warzone","3642876780","155851500","748730","13930","160938","81715","3495","23.37","Call of Duty: Warzone"
"9","Grand Theft Auto V","Grand Theft Auto V","8673529380","136255500","504734","5599","179725","194561","3056","63.66","Grand Theft Auto V"
"10","Dead by Daylight","Dead by Daylight","1823417640","98155440","171942","3610","130295","40902","2201","18.58","Dead by Daylight"
"11","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","2989345860","65964540","392335","2538","114949","67055","1479","45.32","Counter-Strike: Global Offensive"
"12","World of Warcraft","World of Warcraft","1184817480","58886040","59009","3948","48563","26577","1320","20.12","World of Warcraft"
"13","Rocket League","Rocket League","619263240","54861420","90265","2668","149188","13891","1230","11.29","Rocket League"
"14","Music","Music","1336960560","53152260","149829","1832","49396","29990","1192","25.15","Music"
"15","Call of Duty: Black Ops Cold War","Call of Duty: Black Ops Cold War","285905160","52168980","31833","2326","88648","6413","1170","5.48","Call of Duty: Black Ops Cold War"
"16","Genshin Impact","Genshin Impact","1033786620","47890320","627344","2382","76684","23189","1074","21.59","Genshin Impact"
"17","Escape from Tarkov","Escape from Tarkov","1182747480","47560140","56735","1674","35478","26530","1066","24.87","Escape from Tarkov"
"18","Splitgate","Splitgate","360450300","44926980","104035","2504","142346","8085","1007","8.02","Splitgate"
"19","Dota 2","Dota 2","2562995460","43871460","221649","1705","35607","57492","984","58.42","Dota 2"
"20","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","728894160","40544460","132475","1562","82532","16350","909","17.98","Tom Clancy's Rainbow Six Siege"
"21","Final Fantasy XIV Online","Final Fantasy XIV Online","1200047100","38594460","121446","1854","40896","26918","865","31.09","Final Fantasy XIV Online"
"22","Art","Art","794707140","36506220","100089","1223","60053","17826","818","21.77","Art"
"23","Destiny 2","Destiny 2","474351660","36247800","287418","4131","47529","10640","813","13.09","Destiny 2"
"24","Overwatch","Overwatch","538866180","34429200","43807","1228","59940","12087","772","15.65","Overwatch"
"25","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","712913520","34204080","69106","1134","35792","15991","767","20.84","PUBG: BATTLEGROUNDS"
"26","FIFA 21","FIFA 21","651762660","29660340","68660","1587","56917","14620","665","21.97","FIFA 21"
"27","Roblox","Roblox","186976920","26454840","160206","1145","68187","4194","593","7.07","Roblox"
"28","NBA 2K21","NBA 2K21","214665900","26302740","35494","1314","44062","4815","590","8.16","NBA 2K21"
"29","Games + Demos","Games + Demos","164512800","25373340","51043","4261","65461","3690","569","6.48","Games + Demos"
"30","Back 4 Blood","Back 4 Blood","878233980","23401320","434157","5360","85806","19700","524","37.53","Back 4 Blood"
"31","Phasmophobia","Phasmophobia","337567500","22366620","133538","2718","75441","7572","501","15.09","Phasmophobia"
"32","Rust","Rust","491908140","18868080","48474","1268","25073","11034","423","26.07","Rust"
"33","Pokémon Unite","Pokémon Unite","462276600","18083640","52815","1130","30487","10369","405","25.56","Pokémon Unite"
"34","Red Dead Redemption 2","Red Dead Redemption 2","210448740","18077220","18136","746","27189","4720","405","11.64","Red Dead Redemption 2"
"35","Garena Free Fire","Garena Free Fire","565126920","18012300","165660","866","24365","12676","404","31.37","Garena Free Fire"
"36","Sea of Thieves","Sea of Thieves","262950420","17981100","33262","823","31220","5898","403","14.62","Sea of Thieves"
"37","Retro","Retro","264206640","14680920","14616","532","11420","5926","329","18","Retro"
"38","Fall Guys: Ultimate Knockout","Fall Guys: Ultimate Knockout","631001520","13556580","236858","589","52382","14154","304","46.55","Fall Guys: Ultimate Knockout"
"39","LOST ARK","LOST ARK","1156220940","13504440","93305","800","8020","25935","302","85.62","LOST ARK"
"40","Ark: Survival Evolved","Ark: Survival Evolved","219153420","13192380","34501","498","18268","4915","295","16.61","Ark: Survival Evolved"
"41","Path of Exile","Path of Exile","724658520","12434520","72059","537","8446","16255","278","58.28","Path of Exile"
"42","osu!","osu!","115045920","12325500","20531","424","34801","2580","276","9.33","osu!"
"43","SMITE","SMITE","317869560","12162780","29103","598","16025","7130","272","26.13","SMITE"
"44","Call of Duty: Mobile","Call of Duty: Mobile","76627260","11692980","59383","565","17250","1718","262","6.55","Call of Duty: Mobile"
"45","DayZ","DayZ","306127260","11688060","165655","557","13839","6866","262","26.19","DayZ"
"46","Hunt: Showdown","Hunt: Showdown","201646260","11406300","40414","738","13090","4523","255","17.68","Hunt: Showdown"
"47","Science & Technology","Science & Technology","159228300","11145840","20841","357","7862","3571","250","14.29","Science & Technology"
"48","Teamfight Tactics","Teamfight Tactics","662213880","11106240","37855","408","21199","14854","249","59.63","Teamfight Tactics"
"49","Dark Souls III","Dark Souls III","158972100","10421160","41520","401","18286","3565","233","15.25","Dark Souls III"
"50","Hearthstone","Hearthstone","1403532480","10357380","137976","758","12654","31483","232","135.51","Hearthstone"
